uniprot_id|name|short
P05198|Eukaryotic translation initiation factor 2 subunit alphaeIF-2-alphaeIF-2AeIF-2alpha
O15217|Glutathione S-transferase A4-4
P10636-2|Neurofibrillary tangle protein
P10636-2|Paired helical filament-tauPHF-tau

Q05209|PTP-PEST
Q05209|Protein-tyrosine phosphatase G1PTPG1
Q08495|Erythrocyte membrane protein band 4.9
Q08495|Dematin actin-binding protein

P54296|Myomesin family member 2
P54296|M-protein
P54296|165 kDa titin-associated protein
P54296|165 kDa connectin-associated protein

Q9UD71|DARPP-32
Q9UD71|Dopamine- and cAMP-regulated neuronal phosphoprotein
O15554|KCa4
O15554|Putative Gardos channel
O15554|KCa3.1
O15554|IKCa1IK1
Q14847|Metastatic lymph node gene 50 proteinMLN 50
P17655|Calcium-activated neutral proteinase 2CANP 2
P17655|Calpain M-type
P17655|Calpain large polypeptide L2
P17655|Calpain-2 large subunit
P17655|Millimolar-calpainM-calpain
Q99259|67 kDa glutamic acid decarboxylaseGAD-67
Q99259|Glutamate decarboxylase 67 kDa isoform
Q07955|Alternative-splicing factor 1ASF-1
Q07955|pre-mRNA-splicing factor SF2, P33 subunit
Q07955|Splicing factor, arginine/serine-rich 1
Q02952|A-kinase anchor protein 250 kDaAKAP 250
Q02952|Gravin
Q02952|Myasthenia gravis autoantigen
O43164|RING finger protein 131
O43164|RING-type E3 ubiquitin transferase Praja-2
O00482|Liver receptor homolog 1LRH-1
O00482|Hepatocytic transcription factor
O00482|CYP7A promoter-binding factor
O00482|B1-binding factorhB1F
O00482|Alpha-1-fetoprotein transcription factor
O94811|25 kDa brain-specific protein
O94811|TPPP/p25
O94811|p24
O94811|p25-alpha
Q684P5|GTPase-activating Rap/Ran-GAP domain-like protein 4
Q96T88|Inverted CCAAT box-binding protein of 90 kDa
Q96T88|Nuclear protein 95
Q96T88|Nuclear zinc finger protein Np95hNp95HuNp95
Q96T88|RING finger protein 106
Q96T88|RING-type E3 ubiquitin transferase UHRF1
Q96T88|Transcription factor ICBP90
Q96T88|Ubiquitin-like PHD and RING finger domain-containing protein 1hUHRF1
Q96T88|Ubiquitin-like-containing PHD and RING finger domains protein 1
Q00059|Mitochondrial transcription factor 1MtTF1
Q00059|Transcription factor 6TCF-6
Q00059|Transcription factor 6-like 2

Q9Y4C1|Jumonji domain-containing protein 1A
Q9Y4C1|JmjC domain-containing histone demethylation protein 2A
Q8WZ42|Rhabdomyosarcoma antigen MU-RMS-40.14
Q8WZ42|Connectin
Q92917|G-patch domain-containing protein 5
Q92917|Protein MOS2 homolog
Q92917|Protein T54

Q08499-6|DPDE3
Q08499-6|PDE43
Q09470|Voltage-gated K(+) channel HuKI
Q09470|Voltage-gated potassium channel HBK1
Q09470|Voltage-gated potassium channel subunit Kv1.1
Q9GZU1|MG-2
Q9GZU1|Mucolipidin
Q9GZU1|Transient receptor potential channel mucolipin 1TRPML1
P62195|26S proteasome AAA-ATPase subunit RPT6
P62195|Proteasome 26S subunit ATPase 5
P62195|Proteasome subunit p45
P62195|Thyroid hormone receptor-interacting protein 1TRIP1
P62195|p45/SUG
P53805-2|Adapt78
P53805-2|Down syndrome critical region protein 1
P53805-2|Myocyte-enriched calcineurin-interacting protein 1MCIP1
P53805-2|Regulator of calcineurin 1
P41181|ADH water channel
P41181|Aquaporin-CDAQP-CD
P41181|Collecting duct water channel protein
P41181|WCH-CD
P41181|Water channel protein for renal collecting duct
P04083|Annexin I
P04083|Annexin-1
P04083|Calpactin II
P04083|Calpactin-2
P04083|Chromobindin-9
P04083|Lipocortin I
P04083|Phospholipase A2 inhibitory protein
P04083|p35
Q8N5S9|CaM-kinase IV kinase
Q8N5S9|Calcium/calmodulin-dependent protein kinase kinase alphaCaM-KK alphaCaM-kinase kinase alphaCaMKK alpha
O94763|Protein NNX3
O94763|Protein phosphatase 1 regulatory subunit 19
O94763|RNA polymerase II subunit 5-mediating proteinRPB5-mediating protein
Q08493-2|DPDE1
Q08493-2|PDE21
O75688|Protein phosphatase 2C isoform betaPP2C-beta
P54253|Spinocerebellar ataxia type 1 protein

P20265|Brain-specific homeobox/POU domain protein 2Brain-2Brn-2
P20265|Nervous system-specific octamer-binding transcription factor N-Oct-3
P20265|Octamer-binding protein 7Oct-7
P20265|Octamer-binding transcription factor 7OTF-7
O00231|26S proteasome regulatory subunit RPN6
O00231|26S proteasome regulatory subunit S9
O00231|26S proteasome regulatory subunit p44.5
Q9UII2|ATP synthase F1 subunit epsilon
Q9UII2|Inhibitor of F(1)F(o)-ATPaseIF1IF(1)
P04439|Human leukocyte antigen AHLA-A
P62834|Ras-related protein Krev-1
P62834|GTP-binding protein smg p21A
P62834|G-22K
P62834|C21KG
P05023|Sodium pump subunit alpha-1
Q9HCR9|cAMP and cGMP phosphodiesterase 11A
Q9Y6D6|p200 ARF-GEP1
Q9Y6D6|ADP-ribosylation factor guanine nucleotide-exchange factor 1
Q9Y6D6|p200 ARF guanine nucleotide exchange factor
Q92597|Nickel-specific induction protein Cap43
Q92597|N-myc downstream-regulated gene 1 protein
Q92597|Differentiation-related gene 1 proteinDRG-1
Q92597|Rit42
Q92597|Reducing agents and tunicamycin-responsive proteinRTP
P17676|Liver activator proteinLAP
P17676|Liver-enriched inhibitory proteinLIP
P17676|Nuclear factor NF-IL6
P17676|Transcription factor 5TCF-5
P35240|Moesin-ezrin-radixin-like protein
P35240|Neurofibromin-2
P35240|Schwannomerlin
P35240|Schwannomin
P12270|NPC-associated intranuclear protein
P12270|Megator
P12270|Translocated promoter region protein

P17542|Class A basic helix-loop-helix protein 17bHLHa17
P17542|Stem cell protein
P17542|T-cell leukemia/lymphoma protein 5
Q14185|180 kDa protein downstream of CRKDOCK180
Q9H3Z4|Ceroid-lipofuscinosis neuronal protein 4
Q9H3Z4|Cysteine string proteinCSP

P52565|Rho-GDI alpha
O15551|Rat ventral prostate.1 protein homologhRVP1
O15551|Clostridium perfringens enterotoxin receptor 2CPE-R 2CPE-receptor 2
Q9UH99|Protein unc-84 homolog B
Q9UH99|Rab5-interacting proteinRab5IP
Q9UH99|Sad1/unc-84 protein-like 2
Q8TAE6|Serologically defined breast cancer antigen NY-BR-81
Q8TAE6|PKC-potentiated PP1 inhibitory protein
Q8TAE6|Kinase-enhanced PP1 inhibitor
P41240|C-Src kinase
P41240|Protein-tyrosine kinase CYL
P06239|T cell-specific protein-tyrosine kinase
P06239|p56-LCK
P06239|Protein YT16
P06239|Proto-oncogene Lck
P06239|Lymphocyte cell-specific protein-tyrosine kinase
P06239|Leukocyte C-terminal Src kinaseLSK
Q9Y6E0|Mammalian STE20-like protein kinase 3MST-3
Q9Y6E0|STE20-like kinase MST3

Q8IWU9|Neuronal tryptophan hydroxylase
Q8IWU9|Tryptophan 5-monooxygenase 2
Q9NP97|Dynein light chain 2A, cytoplasmic
Q9NP97|Roadblock domain-containing protein 1
Q9NP97|Dynein-associated protein Km23
Q9NP97|Bithoraxoid-like proteinBLP
P26599|57 kDa RNA-binding protein PPTB-1
P26599|Heterogeneous nuclear ribonucleoprotein IhnRNP I
Q01130|Splicing component, 35 kDa
Q01130|Protein PR264
Q01130|Splicing factor SC35SC-35
Q01130|Splicing factor, arginine/serine-rich 2

P13612|CD49 antigen-like family member D
P13612|Integrin alpha-IV
P13612|VLA-4 subunit alpha
O00141|Serum/glucocorticoid-regulated kinase 1
P17302|Connexin-43Cx43
P17302|Gap junction 43 kDa heart protein
Q12802|AKAP-Lbc
Q12802|Breast cancer nuclear receptor-binding auxiliary protein
Q12802|Guanine nucleotide exchange factor Lbc
Q12802|Human thyroid-anchoring protein 31
Q12802|Lymphoid blast crisis oncogeneLBC oncogene
Q12802|Non-oncogenic Rho GTPase-specific GTP exchange factor
Q12802|Protein kinase A-anchoring protein 13PRKA13
Q12802|p47
O60928|Inward rectifier K(+) channel Kir7.1
O60928|Potassium channel, inwardly rectifying subfamily J member 13
P10412|Histone H1b
P10412|Histone H1s-4
P55273|p19-INK4d
Q96P20|Cryopyrin
Q96P20|PYRIN-containing APAF1-like protein 1
Q96P20|Angiotensin/vasopressin receptor AII/AVP-like
Q96P20|Caterpiller protein 1.1CLR1.1
Q96P20|Cold-induced autoinflammatory syndrome 1 protein
P05067|ABPP
P05067|APPI
P05067|Alzheimer disease amyloid protein
P05067|Amyloid precursor protein
P05067|Amyloid-beta A4 protein
P05067|Cerebral vascular amyloid peptideCVAP
P05067|PreA4
P05067|Protease nexin-IIPN-II
P05093|17-alpha-hydroxyprogesterone aldolase
P05093|CYPXVII
P05093|Cytochrome P450 17A1
P05093|Cytochrome P450-C17Cytochrome P450c17
P05093|Steroid 17-alpha-monooxygenase
Q7LDG7|Calcium and DAG-regulated guanine nucleotide exchange factor ICalDAG-GEFI
Q7LDG7|Cdc25-like proteinhCDC25L
Q7LDG7|F25B3.3 kinase-like protein
Q68EM7|RhoGAP interacting with CIP4 homologs protein 1RICH-1
Q68EM7|Rho-type GTPase-activating protein 17
Q14103|AU-rich element RNA-binding protein 1

P15924|250/210 kDa paraneoplastic pemphigus antigen
P21731|Prostanoid TP receptor
Q9H492|Autophagy-related ubiquitin-like modifier LC3 A
Q9H492|Autophagy-related protein LC3 A
Q9H492|Microtubule-associated protein 1 light chain 3 alpha
Q9H492|MAP1A/MAP1B light chain 3 AMAP1A/MAP1B LC3 A
Q9H492|MAP1 light chain 3-like protein 1
Q13535|Ataxia telangiectasia and Rad3-related protein
Q13535|FRAP-related protein 1
P37802|SM22-alpha homolog
P37802|Epididymis tissue protein Li 7e
Q9H0K1|Qin-induced kinase
Q9H0K1|Salt-inducible kinase 2SIK-2
Q9H0K1|Serine/threonine-protein kinase SNF1-like kinase 2
P21980|Transglutaminase HTGase H
P21980|Transglutaminase-2TGase-2
P21980|Transglutaminase CTG(C)TGCTGase C
P21980|Tissue transglutaminase
Q9NP71|MLX interactor
Q9NP71|Class D basic helix-loop-helix protein 14bHLHd14
Q9NP71|Williams-Beuren syndrome chromosomal region 14 protein
Q9NP71|MLX-interacting protein-like
Q9NP71|WS basic-helix-loop-helix leucine zipper proteinWS-bHLH
P98161|Autosomal dominant polycystic kidney disease 1 protein
O43181|NADH-ubiquinone oxidoreductase 18 kDa subunit
O43181|Complex I-AQDQCI-AQDQ
O43181|Complex I-18 kDaCI-18 kDa
Q15746|Telokin
Q15746|Kinase-related proteinKRP
P16144|GP150
O95295|Biogenesis of lysosome-related organelles complex 1 subunit 7BLOC-1 subunit 7
O95295|Synaptosomal-associated protein 25-binding proteinSNAP-associated protein
Q15149|Plectin-1
Q15149|Hemidesmosomal protein 1HD1

Q8WVI7|Inhibitor-5 of protein phosphatase 1IPP5
Q99996|A-kinase anchor protein 350 kDahgAKAP 350AKAP 350
Q99996|A-kinase anchor protein 450 kDaAKAP 450
Q99996|AKAP 120-like protein
Q99996|Centrosome- and Golgi-localized PKN-associated proteinCG-NAP
Q99996|Protein hyperion
Q99996|Protein kinase A-anchoring protein 9PRKA9
Q99996|Protein yotiao
Q15054|DNA polymerase delta subunit C
Q15054|DNA polymerase delta subunit p66
Q15054|DNA polymerase delta subunit p68
P22459|HPCN2
P22459|Voltage-gated K(+) channel HuKII
P22459|Voltage-gated potassium channel HBK4
P22459|Voltage-gated potassium channel HK1
P22459|Voltage-gated potassium channel subunit Kv1.4
Q9HC16|APOBEC-related cytidine deaminaseAPOBEC-related proteinARCD
Q9HC16|APOBEC-related protein 9ARP-9
Q9HC16|CEM-15CEM15
Q9HC16|Deoxycytidine deaminaseA3G
P16066|Guanylate cyclase AGC-A
P16066|Atrial natriuretic peptide receptor type AANP-AANPR-ANPR-A

O14558|Heat shock 20 kDa-like protein p20
P19793|Nuclear receptor subfamily 2 group B member 1
P19793|Retinoid X receptor alpha
Q15835|G protein-coupled receptor kinase 1
Q9NPC2|Acid-sensitive potassium channel protein TASK-3
Q9NPC2|TWIK-related acid-sensitive K(+) channel 3
Q9NPC2|Two pore potassium channel KT3.2Two pore K(+) channel KT3.2
P30518|Renal-type arginine vasopressin receptor
P30518|AVPR V2
P30518|Antidiuretic hormone receptor
P48549|Inward rectifier K(+) channel Kir3.1
P48549|Potassium channel, inwardly rectifying subfamily J member 3
P23771|GATA-binding factor 3
P63252|Cardiac inward rectifier potassium channel
P63252|Inward rectifier K(+) channel Kir2.1IRK-1hIRK1
P63252|Potassium channel, inwardly rectifying subfamily J member 2
Q16790|Carbonate dehydratase IX
Q16790|Carbonic anhydrase IXCAIXCA-IX
Q16790|Membrane antigen MN
Q16790|P54/58N
Q16790|Renal cell carcinoma-associated antigen G250RCC-associated antigen G250
Q16790|pMW1
Q16531|Xeroderma pigmentosum group E-complementing proteinXPCe
Q16531|UV-damaged DNA-binding protein 1UV-DDB 1
Q16531|UV-damaged DNA-binding factor
Q16531|XPE-binding factorXPE-BF
Q16531|Damage-specific DNA-binding protein 1
Q16531|HBV X-associated protein 1XAP-1
Q16531|DNA damage-binding protein aDDBa
Q16531|DDB p127 subunit
O76074|cGMP-binding cGMP-specific phosphodiesteraseCGB-PDE
Q13185|Modifier 2 protein
Q13185|HECH
Q13185|Heterochromatin protein 1 homolog gammaHP1 gamma

Q16891|Mitofilin
Q16891|p87/89
Q16891|Cell proliferation-inducing gene 4/52 protein
Q16891|Mitochondrial inner membrane protein
P55087|Mercurial-insensitive water channelMIWC
P55087|WCH4

P49685|Brother of BonzoBoB
O14649|Two pore potassium channel KT3.1Two pore K(+) channel KT3.1
O14649|Acid-sensitive potassium channel protein TASK-1
O14649|TWIK-related acid-sensitive K(+) channel 1
P51787|IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1
P51787|KQT-like 1
P51787|Voltage-gated potassium channel subunit Kv7.1
P36956|Class D basic helix-loop-helix protein 1bHLHd1
P36956|Sterol regulatory element-binding transcription factor 1
P41161|Ets-related protein ERM
Q92837|Frequently rearranged in advanced T-cell lymphomas 1FRAT-1
Q07820|mcl1/EAT
Q07820|Bcl-2-related protein EAT/mcl1
Q07820|Bcl-2-like protein 3Bcl2-L-3

Q16828|Dual specificity protein phosphatase PYST1
Q16828|Mitogen-activated protein kinase phosphatase 3MAP kinase phosphatase 3MKP-3
Q16690|Dual specificity protein phosphatase hVH3

Q9BUB5|MAP kinase signal-integrating kinase 1Mnk1MAPK signal-integrating kinase 1

Q9NYA1|Acetyltransferase SPHK1
Q9H8Y8|Golgi phosphoprotein 6GOLPH6
Q9H8Y8|Golgi reassembly-stacking protein of 55 kDaGRASP55
Q9H8Y8|p59
P50616|Transducer of erbB-2 1

Q9NQ66|Phospholipase C-beta-1PLC-beta-1
Q9NQ66|Phospholipase C-IPLC-I
Q9NQ66|Phosphoinositide phospholipase C-beta-1
Q9NQ66|PLC-154
Q13950|SL3-3 enhancer factor 1 alpha A subunit
Q13950|SL3/AKV core-binding factor alpha A subunit
Q13950|Acute myeloid leukemia 3 protein
Q13950|Core-binding factor subunit alpha-1CBF-alpha-1
Q13950|Oncogene AML-3
Q13950|Osteoblast-specific transcription factor 2OSF-2
Q13950|Polyomavirus enhancer-binding protein 2 alpha A subunitPEA2-alpha APEBP2-alpha A
O75030-9|Class E basic helix-loop-helix protein 32bHLHe32
Q13614|Phosphatidylinositol-3,5-bisphosphate 3-phosphatase
Q13614|Phosphatidylinositol-3-phosphate phosphatase
P41212|ETS-related protein Tel1Tel
P41212|ETS translocation variant 6

P12980|Lymphoblastic leukemia-derived sequence 1
P12980|Class A basic helix-loop-helix protein 18bHLHa18

O43561-2|36 kDa phospho-tyrosine adapter proteinpp36
O43561-2|p36-38
Q15788|Class E basic helix-loop-helix protein 74bHLHe74
Q15788|Protein Hin-2
Q15788|RIP160
Q15788|Renal carcinoma antigen NY-REN-52
Q15788|Steroid receptor coactivator 1SRC-1

Q92793|Histone lysine acetyltransferase CREBBP
Q92793|Protein-lysine acetyltransferase CREBBP
Q01196-8|Acute myeloid leukemia 1 protein
Q01196-8|Core-binding factor subunit alpha-2CBF-alpha-2
Q01196-8|Oncogene AML-1
Q01196-8|Polyomavirus enhancer-binding protein 2 alpha B subunitPEBP2-alpha BPEA2-alpha B
Q01196-8|SL3-3 enhancer factor 1 alpha B subunit
Q01196-8|SL3/AKV core-binding factor alpha B subunit
Q16584|Mixed lineage kinase 3
Q16584|Src-homology 3 domain-containing proline-rich kinase
Q96FF9|Cell division cycle-associated protein 5
Q96FF9|p35
P17861|Tax-responsive element-binding protein 5TREB-5
Q8IZP0|Abelson interactor 1Abi-1
Q8IZP0|Abl-binding protein 4AblBP4
Q8IZP0|Eps8 SH3 domain-binding proteinEps8-binding protein
Q8IZP0|Nap1-binding proteinNap1BP
Q8IZP0|Spectrin SH3 domain-binding protein 1
Q8IZP0|e3B1
P35658|Protein CAN
P35658|Nucleoporin Nup214
P35658|214 kDa nucleoporin
Q92974-2|Guanine nucleotide exchange factor H1GEF-H1
Q92974-2|Microtubule-regulated Rho-GEF
Q92974-2|Proliferating cell nucleolar antigen p40

P29590-4|Promyelocytic leukemia protein
P29590-4|RING finger protein 71
P29590-4|Tripartite motif-containing protein 19

Q03060|Inducible cAMP early repressorICER
Q9UIG0|Williams-Beuren syndrome chromosomal region 10 protein
Q9UIG0|Williams-Beuren syndrome chromosomal region 9 protein
Q9UIG0|hWALp2
Q9UIG0|Bromodomain adjacent to zinc finger domain protein 1B
Q9UIG0|Williams syndrome transcription factor
C9JLW8|Granulin-2
C9JLW8|Protein FAM195B
P49407|Arrestin beta-1
P49407|Non-visual arrestin-2
P27361|p44-ERK1
P27361|Microtubule-associated protein 2 kinase
P27361|MAP kinase isoform p44p44-MAPK
P27361|Insulin-stimulated MAP2 kinase
P27361|Extracellular signal-regulated kinase 1ERK-1
P27361|ERT2
P78347-2|Bruton tyrosine kinase-associated protein 135BTK-associated protein 135BAP-135
P78347-2|SRF-Phox1-interacting proteinSPIN
P78347-2|Williams-Beuren syndrome chromosomal region 6 protein
Q14790|MORT1-associated ced-3 homologMACH
Q14790|ICE-like apoptotic protease 5
Q14790|FADD-homologous ICE/ced-3-like protease
Q14790|FADD-like ICEFLICE
Q14790|Apoptotic protease Mch-5
Q14790|CAP4
Q14790|Apoptotic cysteine protease
Q9BR01|Nervous system sulfotransferaseNST
Q9BR01|Brain sulfotransferase-like proteinhBR-STLhBR-STL-1
Q9ULC4|Multiple copies T-cell malignancies
Q15366|Heterogeneous nuclear ribonucleoprotein E2hnRNP E2
Q15366|Alpha-CP2
Q8N9N5|Btg3-associated nuclear protein
Q8N9N5|BEN domain-containing protein 1
Q8N9N5|Scaffold/matrix-associated region-1-binding protein
Q16559|Class A basic helix-loop-helix protein 19bHLHa19
P63000|Cell migration-inducing gene 5 protein
P63000|Ras-like protein TC25
P63000|p21-Rac1
Q15046|Lysyl-tRNA synthetaseLysRS
O60244|Transcriptional coactivator CRSP150
O60244|Vitamin D3 receptor-interacting protein complex 150 kDa componentDRIP150
O60244|RGR1 homologhRGR1
O60244|Mediator complex subunit 14
O60244|Thyroid hormone receptor-associated protein complex 170 kDa componentTrap170
O60244|Activator-recruited cofactor 150 kDa componentARC150
O60244|Cofactor required for Sp1 transcriptional activation subunit 2CRSP complex subunit 2
P29966|Protein kinase C substrate, 80 kDa protein, light chain80K-L proteinPKCSL
Q9UHB6|Epithelial protein lost in neoplasm

Q9UKX7|Nucleoporin Nup50
Q9UKX7|Nuclear pore-associated protein 60 kDa-like
Q9UKX7|50 kDa nucleoporin
Q02447|SPR-2
P11362|Basic fibroblast growth factor receptor 1bFGF-R-1BFGFR
P11362|Fms-like tyrosine kinase 2FLT-2
P11362|N-sam
P11362|Proto-oncogene c-Fgr
O15525|hMAF
O15525|V-maf musculoaponeurotic fibrosarcoma oncogene homolog G
P14784|High affinity IL-2 receptor subunit beta
P14784|Interleukin-15 receptor subunit beta
P14784|p70-75p75

P62070|Teratocarcinoma oncogene
P62070|Ras-like protein TC21

Q969H0|Archipelago homologhAgo
Q969H0|F-box and WD-40 domain-containing protein 7
Q969H0|F-box protein FBX30
Q969H0|SEL-10
Q969H0|hCdc4
P35228|Peptidyl-cysteine S-nitrosylase NOS2
P35228|NOS type II
P35228|Inducible NO synthaseInducible NOSiNOS
P35228|Hepatocyte NOSHEP-NOS
P33981|Phosphotyrosine picked threonine-protein kinasePYT
O60331|Phosphatidylinositol 4-phosphate 5-kinase type I gammaPIP5KIgamma
P27824|IP90
P27824|Major histocompatibility complex class I antigen-binding protein p88
P27824|p90
Q12931|TNFR-associated protein 1
Q12931|Tumor necrosis factor type 1 receptor-associated proteinTRAP-1
Q92908|GATA-binding factor 6
Q86UC2|A-kinase anchor protein RSPH3
Q86UC2|Radial spoke head-like protein 2
Q9UQC2|GRB2-associated binder 2
Q9UQC2|pp100
Q9UQC2|Growth factor receptor bound protein 2-associated protein 2
P10828|c-erbA-beta
P10828|c-erbA-2
P10828|Nuclear receptor subfamily 1 group A member 2
P10301|p23

Q9NRF2|Pro-rich, PH and SH2 domain-containing signaling mediatorPSM
Q9NRF2|SH2 domain-containing protein 1B


Q8NET8|Vanilloid receptor-like 3VRL-3
P41182|Protein LAZ-3
P41182|Zinc finger and BTB domain-containing protein 27
P41182|Zinc finger protein 51
P41182|B-cell lymphoma 5 proteinBCL-5
Q12772|Class D basic helix-loop-helix protein 2bHLHd2
Q12772|Sterol regulatory element-binding transcription factor 2
O60504-2|SH3-containing adapter molecule 1SCAM-1
O60504-2|Sorbin and SH3 domain-containing protein 3
P43364|MAGE-11 antigen
P43364|Cancer/testis antigen 1.11CT1.11
Q14934|T-cell transcription factor NFAT3NF-AT3
P02686|Myelin membrane encephalitogenic protein
P02686|Myelin A1 protein
Q9UPT5|Exocyst complex component Exo70

P09622|Dihydrolipoamide dehydrogenase
P09622|Glycine cleavage system L protein
Q92918|Hematopoietic progenitor kinase
Q92918|MAPK/ERK kinase kinase kinase 1MEK kinase kinase 1MEKKK 1
Q16566|CaM kinase-GR
Q8TDC3-2|Brain-selective kinase 1
Q8TDC3-2|Brain-specific serine/threonine-protein kinase 1BR serine/threonine-protein kinase 1
Q8TDC3-2|Serine/threonine-protein kinase SAD-B
Q8TDC3-2|Synapses of Amphids Defective homolog 1hSAD1SAD1 homolog
Q8IU85|CaM kinase I deltaCaM kinase IDCaM-KI deltaCaMKI deltaCaMKID
Q8IU85|CaMKI-like protein kinaseCKLiK
Q14012|CaM kinase I alphaCaMKI-alpha
Q14012|CaM kinase ICaM-KI
O95238|Prostate epithelium-specific Ets transcription factorProstate-specific Ets
