uniprot_id|name|short



P16104|Histone H2A.X
Q9H8W4|Phafin-2Phafin2

Q7L804|NRip11



Q7L0Y3|HBV pre-S2 trans-regulated protein 2
Q7L0Y3|Mitochondrial ribonuclease P protein 1Mitochondrial RNase P protein 1
Q7L0Y3|RNA (guanine-9-)-methyltransferase domain-containing protein 1
Q7L0Y3|Renal carcinoma antigen NY-REN-49
Q7L0Y3|mRNA methyladenosine-N(1)-methyltransferase
Q7L0Y3|tRNA (adenine(9)-N(1))-methyltransferase
Q7L0Y3|tRNA (guanine(9)-N(1))-methyltransferase
A0A024R3U6|Special AT-rich sequence-binding protein


Q9NRA2|H(+)/nitrate cotransporter
Q9NRA2|H(+)/sialic acid cotransporterAST
Q9NRA2|Membrane glycoprotein HP59
Q9NRA2|Solute carrier family 17 member 5
Q9NRA2|Vesicular H(+)/Aspartate-glutamate cotransporter

O75324|AG8_1




Q969E4|Transcription elongation factor S-II protein-like 3










O75844|Farnesylated proteins-converting enzyme 1FACE-1
O75844|Zinc metalloproteinase Ste24 homolog
O75844|Prenyl protein-specific endoprotease 1



P10073|Protein HKR2
P10073|Zinc finger protein 50
P10073|Krueppel-related zinc finger protein 2


Q9UI33|Peripheral nerve sodium channel 5PN5
Q9UI33|Sensory neuron sodium channel 2
Q9UI33|Sodium channel protein type XI subunit alpha
Q9UI33|Voltage-gated sodium channel subunit alpha Nav1.9
Q9UI33|hNaN



Q6XUX3|Sugen kinase 496SgK496
Q6XUX3|Dusty protein kinaseDusty PK
Q6XUX3|RIP-homologous kinase
Q6XUX3|Receptor-interacting serine/threonine-protein kinase 5

O95789|Zinc finger protein 258
O95789|Transposon-derived Buster2 transposase-like protein





Q16533|Proximal sequence element-binding transcription factor subunit gammaPSE-binding factor subunit gammaPTF subunit gamma
Q16533|Small nuclear RNA-activating complex polypeptide 1
Q16533|snRNA-activating protein complex 43 kDa subunitSNAPc 43 kDa subunit







Q7Z7A3|ATP-binding domain-containing protein 3
Q7Z7A3|Cancer-associated gene protein
Q7Z7A3|Cytoplasmic tRNA adenylyltransferase 1







Q8N6R0|Methyltransferase-like protein 13
Q8WVI7|Inhibitor-5 of protein phosphatase 1IPP5









Q5TEJ8|Thymocyte-expressed molecule involved in selection protein 2
Q5TEJ8|Induced by contact to basement membrane 1 proteinProtein ICB-1





Q6NZ67|Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 2B

P33260|CYPIIC18
P33260|Cytochrome P450-6b/29c





Q9Y4C4|Malignant fibrous histiocytoma-amplified sequence with leucine-rich tandem repeats 1


Q9H190|Similar to TACIP18SITAC
Q9H190|Syndecan-binding protein 2

Q9Y6H8|Connexin-46Cx46












Q92688|Acidic protein rich in leucines
Q92688|Putative HLA-DR-associated protein I-2PHAPI2
Q92688|Silver-stainable protein SSP29






Q9UIM3|WAF-1/CIP1 stabilizing protein 39WISp39
Q9HBE1|BTB/POZ domain zinc finger transcription factor
Q9HBE1|Zinc finger protein 278
Q9HBE1|Zinc finger sarcoma gene protein
Q9HBE1|Protein kinase A RI subunit alpha-associated protein
Q9HBE1|Zinc finger and BTB domain-containing protein 19





Q9NYP9|FAPP1-associated protein 1
Q9BY14|Cell surface receptor NYD-SP8
Q9BY14|Scleroderma-associated autoantigen
Q9BY14|Spermatogenesis-related gene protein

Q16878|Cysteine dioxygenase type ICDOCDO-I


Q8N448|PDZ domain-containing RING finger protein 1
Q8N448|Numb-binding protein 2







Q8TDL5|Long palate, lung and nasal epithelium carcinoma-associated protein 1
Q8TDL5|von Ebner minor salivary gland proteinVEMSGP








P13533|Myosin heavy chain, cardiac muscle alpha isoformMyHC-alpha
P13533|Myosin heavy chain 6


P41134|Inhibitor of differentiation 1
P41134|Inhibitor of DNA binding 1
P41134|Class B basic helix-loop-helix protein 24bHLHb24



















Q9Y3E2|hBolA
Q96G61|Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 3-beta
Q96G61|Diadenosine hexaphosphate hydrolase (AMP-forming)
Q96G61|Nucleoside diphosphate-linked moiety X motif 11Nudix motif 11
Q96G61|hAps1

Q96G25|Mediator complex subunit 8
Q96G25|Activator-recruited cofactor 32 kDa componentARC32








O60684|Karyopherin subunit alpha-6


Q15493|GluconolactonaseGNL
Q15493|Senescence marker protein 30SMP-30












Q9Y3C6|Rotamase PPIL1


O60287|Nucleolar protein 254 kDa
O60287|URB1 ribosome biogenesis 1 homolog

Q8IZF2|G-protein coupled receptor 116


Q86U70|LIM domain-binding factor CLIM2hLdb1
Q86U70|Nuclear LIM interactor
Q86U70|Carboxyl-terminal LIM domain-binding protein 2CLIM-2



Q96QD5|Protein TR2/D15




Q13530|Tumor differentially expressed protein 1


Q8TDX5|Picolinate carboxylase

Q9Y614|Actin-like-7-beta





O75934|Spliceosome-associated protein SPF 27
O75934|DNA amplified in mammary carcinoma 1 protein
O75934|Breast carcinoma-amplified sequence 2
Q13323|Apoptosis inducer NBK
Q13323|BIP1
Q13323|BP4

Q6Q0C1|Hepatocellular carcinoma down-regulated mitochondrial carrier protein
Q8IV36|HID1 domain-containing protein
Q8IV36|Down-regulated in multiple cancers 1
Q8IV36|Protein hid-1 homolog

Q8WYA6|Testis development protein NYD-SP19
Q8WYA6|Nuclear-associated proteinNAP








Q9UBS4|Human DnaJ protein 9hDj-9
Q9UBS4|HEDJ
Q9UBS4|ER-associated Hsp40 co-chaperone
Q9UBS4|ER-associated DNAJ
Q9UBS4|Endoplasmic reticulum DNA J domain-containing protein 3ER-resident protein ERdj3ERdj3ERj3p
Q9UBS4|APOBEC1-binding protein 2ABBP-2
Q9UBS4|DnaJ protein homolog 9
Q9UBS4|PWP1-interacting protein 4



Q8IYI6|Exocyst complex 84 kDa subunit
Q96KN1|Breast cancer membrane protein 101
Q96KN1|LRAT domain-containing 2
Q96KN1|Protein FAM84B
Q96KN1|Protein NSE2

Q96RD9|Immune receptor translocation-associated protein 2
Q96RD9|Fc receptor homolog 5FcRH5
Q96RD9|BXMAS1
Q02742|Core2-GlcNAc-transferaseC2GNTCore 2 GNT
Q02742|Core 2-branching enzyme
Q04760|Methylglyoxalase
Q04760|S-D-lactoylglutathione methylglyoxal lyase
Q04760|Ketone-aldehyde mutase
Q04760|Aldoketomutase
Q04760|Glyoxalase IGlx I
P80108|Glycosyl-phosphatidylinositol-specific phospholipase DGPI-PLDGPI-specific phospholipase D
P80108|Glycoprotein phospholipase D




Q96A08|Histone H2B, testishTSH2BTSH2B.1
Q96A08|Testis-specific histone H2B


P17066|Heat shock 70 kDa protein B'



P17658|Voltage-gated potassium channel HBK2
P17658|Voltage-gated potassium channel subunit Kv1.6

Q9P2V4|Retina-specific protein PAL
Q9P2V4|Photoreceptor-associated LRR superfamily protein
Q9P2V4|Leucine-rich repeat-containing protein 21
Q6ZN28|SH3 domain-containing protein 7a5
Q96HR3|Thyroid hormone receptor-associated protein complex 25 kDa componentTrap25
Q96HR3|Thyroid hormone receptor-associated protein 6
Q96HR3|TRAP/Mediator complex component TRAP25
Q96HR3|Mediator complex subunit 30


Q9UM21|N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVaGlcNAc-T IVaGnT-IVaN-acetylglucosaminyltransferase IVa
Q9UM21|UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa
Q8IZD2|Myeloid/lymphoid or mixed-lineage leukemia protein 5












F2Z3K5|Ribophorin-2

Q8IZE3|SCY1-like protein 3
Q8IZE3|Ezrin-binding protein PACE-1

Q9ULL8|Second homolog of apical protein

Q9H0C2|ADP,ATP carrier protein 4
Q9H0C2|Adenine nucleotide translocator 4ANT 4
Q9H0C2|Solute carrier family 25 member 31
Q9H0C2|Sperm flagellar energy carrier protein




K7EJB5|snRNP core protein D2
Q9NRC6|Beta-V spectrin



Q96PF1|Transglutaminase ZTG(Z)TGZTGase Z
Q96PF1|Transglutaminase-7TGase-7


Q9C026|RING finger protein 91
Q9C026|RING-type E3 ubiquitin transferase TRIM9
Q9C026|Tripartite motif-containing protein 9






Q9UL59|BWSCR2-associated zinc finger protein 1BAZ-1


